sentID;text_clean;elin;lena;oscar;agg
291392;man kan samtidigt disku- tera om det är lämpligt att surrogatmodern och den tilltänkta fadern gemensamt blir rättsliga föräldrar till ett barn , och att det förhåll- andet kan bli bestående om surrogatmodern väljer att inte avsäga sig föräldraskapet .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
328458;att så många av de familjehemsplacerade barnens mödrar är döda när barnen blir vuxna är enligt forskare särskilt oroväckande eftersom en rad andra studier visar att barn som vårdats lång tid i familjehem tenderar att tidigt förlora kontakten med sina fäder .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
7955;det gäller både att få fäder att vilja ta föräldraledigt i större utsträckning , att få mödrar att i större utsträckning avstå och att få arbetsgivare att ställa in sig på att både män och kvinnor i lika hög grad ska kunna förväntas ta föräldraledigt .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
78617;som motivering har utskottet anfört att den nuvarande ordningen ger betryggande garantier för att det verkligen är den biologiska fadern och inte någon annan som fastställs som far till ett barn .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
212294;inte de ensamma , men också de : att vända sig till och stimulera fäder att läsa för sina barn , att stimulera nyblivna föräldrar att läsa , att peka på olika sätt att nå böcker där annan utgivning inte finns och att stimulera utgivning av böcker som kanske inte ligger i toppen på hitlistorna .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
364834;kontaktuppgifter titti.mattson @ jur.lu.se 000-000 00 00 avslutade projekt och forskningsprogram 00 barn som upplevt pappas våld mot mamma möter familjerätten utsatta barn som sociala aktörer i utredningar om vårdnad , boende eller umgänge bakgrund vid en rättslig tvist mellan ett barns föräldrar gällande boende , vårdnad eller umgänge ska barnets inställning undersökas och redovisas inför rätten .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
355306;således finner kommittén det angeläget att bestämmelserna i medbl underlättar för barn att få svenskt medborgarskap efter fadern även om denne inte är gift med barnets mor .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
127819;föräldrabalkens faderskapspresumtion bygger på tanken att den i de flesta fall anger den genetiske fadern som barnets rättsliga far .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
197689;barnet kan vara så påverkat av boendeföräldern att det säger sådant som det matats med eller förväntas säga av en kontrollerande förälder , så kallad föräldrapåverkan eller föräldraalienation , att pappan framställs som en alien , en udda och skrämmande person .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
333137;anledningen till att de olika grupperna skilde sig åt i detta avseende kan enligt tasker och golombok bero på att respondenterna med homosexuella mödrar inte hade upplevt moderns partner som något hot gentemot den frånvarande fadern utan snarare som en extra vuxenperson .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
73159;det skulle dels stärka banden mellan barn och far , dels skulle pappans tidiga delaktighet innebära en betydande avlastning för mamman den första tiden efter förlossningen .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
277902;dottern var traumatiserad sedan hon bevittnat det våld hennes mor utsatts för av fadern .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
351637;anledningen till att kvinnors inkomster i medeltal är högre för bidragsförskott och barnbidrag är att det finns fler ensamstående mödrar än ensamstående fäder .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
353783;000 sou 0000:0 betänkande från kvinnomaktutredningen hur påverkas barnen av frånvarande fäder , respektive av att mödrar slits mellan vårdansvar och yrkesambitioner ?;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
338056;en 00-årig pojke som bor med lillebror hos sin ensamstående far berättar att pappan säger att sonen får ta hand om sin bror .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
199213;vi måste komma ifrån ett sverige där det fortfarande mer är mamman som blir mamma än pappan som blir pappa när två vuxna människor får barn tillsammans .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
312794;under en kort period ( 0000 till 0000 ) fanns dock två veckor reserverade till pappan och då använde pappor föräldra- ledighet i större utsträckning ( borchorst 0000 ) .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
333355;finns det anledning att anta att homosexuella fäder skulle skilja sig från homosexuella mödrar på denna punkt ?;IMPLICIT;IMPLICIT;IMPLICIT;IMPLICIT
168752;ett utländskt barn vars far sedan tiden för barnets födelse är svensk medborgare kan genom tillägget till 0 a § erhålla svenskt medborgarskap , om fadern genom ett skriftligt avtal som godkänts av socialnämnden ensam fått vårdnaden om barnet eller fått vårdnaden om barnet gemensamt med modern ( se 0 kap .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
235578;det enda rimliga är att regeringen ser över möj- ligheten till en pappamånad för dessa nyblivna fäder i de fall där hela föräldraförsäkringen utnyttjats av modern och eventuellt den man som en gång i tiden trodde att han var pappa till barnet .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
232917;han menar att umgängessabotage ska kunna leda till att umgängesföräldern , oftast handlar det om pappan , inte ska behöva betala underhåll .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
217862;vi har ju debatter där det pekas på att för få pappor får vårdnaden , och i någon debatt tycker man att det för ofta döms till pappans fördel .;IMPLICIT;IMPLICIT;IMPLICIT;IMPLICIT
61636;mannen i äktenskapet anses alltså automatiskt vara far till barnet oavsett om han verkligen är den biologiska fadern eller inte .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
304719;000 sou 0000:00 barns boende tabell 00 anledning till valet av att barnet bor mest hos mamman när barnen bor på detta sätt , procent , jämställt föräldraskap 0000 pappa mamma arbetssituationen 0 0 barnet fick välja 0 00 det passar barnet bäst 00 00 långt mellan föräldrarnas bostäder 00 00 ekonomi 0 0 nära till skola/förskola/kamrater 0 0 annat 00 00 när barnet bor mest hos pappan är det på motsvarande sätt som i tabellen ovan , vanligare att pappan anser att det är för att det passar barnet bäst .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
211514;fadern vägrade godkänna att det utsågs god man , och det dröjde flera månader innan barnen fick kontakt med barn- och ungdomspsykiatrin , när fadern hade mördat barnens mamma .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
288366;däremot uppmärksammas det radikalindividualistiska draget i den svenska välfärdsstaten alltmer : äktenskapslagstiftning , barns rättigheter , föräldraledighet för både fäder och mödrar , förbud mot aga .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
72626;mamman kan anklaga pappan för bristande samarbete och andra anklagelser och han måste då lägga all sin energi på att försvara sig och bevisa att han är en lämplig pappa .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
317611;när det gäller fördelningen av föräldraledighet visar forskningen att om mamman är hemma med barnet samtidigt med pappan har inte barnet till- räcklig påverkan på pappan för att han ska utveckla den omsorgs- rationalitet som ligger till grund för ett föräldraskap jämställt det som mammor i regel utvecklar genom att vara i en situation av 000 sou 0000:00 orsaker till nyttjande och fördelning av föräldrapenning totalt emotionellt och praktiskt ansvarstagande ( brandth kvande , 0000 ) .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
125776;faderskapspresumtionen bygger på tanken att den i de allra flesta fall anger den genetiska fadern som barnets rättsliga far .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
290865;det kan i ett sådant fall inte uteslutas att den fastställda fadern har köpt eller kidnappat barnet , eller att han av annat skäl inte bör anses som barnets rätts- 000 surrogatarrangemang i utlandet sou 0000:00 liga far .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
287949;den andra reserverade månaden hade där- emot inte någon effekt på fördelningen.00 0.0hemarbete och förvärvsarbete även om föräldraförsäkringen utgår från att föräldrarna gemen- samt ska ta ansvar för omsorgen om barn , finns det stora skillnader i hur mödrar och fäder gör bruk av dessa möjligheter .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
101000;när det gäller ogifta fäders rätt till sina barn och dessa barns rätt till sina fäder har de inte automatiskt rätt till varandra på samma sätt som mor och barn alltid har .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
109260;detta trots att de fäder som orkar driva en rättsprocess för att få leva med sina barn förmodligen är minst lika engagerade i barnens dagliga omvårdnad som barnens mödrar .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
65195;i isf rapport , dubbeldagar - pappors väg in i föräldrapenningen , dras slutsatsen att pappors uttag under barnets första levnadsår har ökat och att pappor som tidigare valt att ej ta ut föräldrapenning nu har börjat ta ut dagar .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
322994;det som talar mot en anteckning i folkbokföringsregistret är som regeringen tidigare anfört att den sociala fadern är rättslig far och det är de rättsliga förhållandena som i första hand är av intresse ur folkbokföringssynpunkt .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
316421;föräldern hade inte dömts för sexuella övergrepp mot barnet övergreppen togs upp i samtliga 0 fall var påståendena om sexuella övergrepp mot barnet riktade mot pappan .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
281134;många menar dock att på föräldraområdet är det kvinnor och mödrar som värderas högre , definierar normen för föräldraskap och har ett övertag över män och fäder .;EXPLICIT;IMPLICIT;IMPLICIT;IMPLICIT
326577;0. år 0000 i villans gillestuga i stuvsta uppsåtligen tillfogat f.g. smärta genom att utdela ett flertal knytnävsslag mot dennes kropp när denne låg på sin mor i avsikt att skydda henne mot faderns på- gående misshandel .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
286581;mot denna bakgrund bör genetiska mödrar likställas med gene- tiska fäder och en möjlighet att bekräfta moderskapet bör tillskapas .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
318577;0.0 påverkan från föräldrarnas inkomstnivå och utbildningslängd en generell slutsats är att pappor med högre inkomst tar föräldra- ledigt i högre utsträckning än pappor med lägre inkomst men att denna påverkan avtar med stigande inkomst , speciellt när faderns inkomst stigit över en viss nivå ( inkomsttaket ) .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
333127;000 barn i homosexuella familjer sou 0000:00 relationen till den andra biologiska föräldern och andra vuxna i taskers och golomboks första studie undersöktes även i vilken utsträckning barnen hade kontakt med sina biologiska fäder .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
235575;men vänsterpartiets motion innehöll ytterligare ett yrkande , nämligen att de pappor som sent i livet får reda på att de är fäder borde ha rätt till en pappamånad från föräldraförsäkringen för att kunna etablera en bra kontakt med barnet och för att pappa och barn ska få en möjlighet att lära känna varandra .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
320442;de tenderar i stället att tala om fäders våld mot mödrar och fäders våld mot barn som fenomen utan särskilt stark koppling till varandra .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
318428;mamman måste låta pappan göra som han vill och inte lägga sig i. barnet ska inte ha två mammor utan en mamma och en pappa .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
78606;motivering bortförande av barn som genomförs av en förälder , oftast fadern , är en svår upplevelse för barnen .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
353782;vi behöver också veta mer om varför fäder tar ut en så förhållandevis liten andel av föräldraledigheten , varför mödrar deltidsarbetar i så hög grad och hur föräldrarna förhandlar om ansvaret för barnen .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
81209;mannen i äktenskapet anses alltså automatiskt vara far till barnet oavsett om han verkligen är den biologiska fadern eller inte .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
329024;00 vissa bestämmelser reglerar vad som gäller för ett barns far , bland annat att ett barn ska kunna folkbokföras på grund av sin anknytning till fadern .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
12148;motionärerna framhåller att det finns ett tydligt samband mellan pappans engagemang och barnets utveckling samt att det är under en sammanhängande samvaro med barnet som förälderns omsorgsrationalitet utvecklas .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
358733;år 0000 lämnade arbetsgruppen rapporten pappagruppens slutrapport ( ds 0000:0 ) som innehöll en vision om den närvarande pappan och ett antal förslag på åtgärder för att påverka pappor att i större utsträckning vara hemma med sina barn .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
299959;000 sou 0000:00 nytt sätt att bekräfta föräldraskap del av den utredning som syftar till att ta reda på vem som är den rättsliga föräldern.00 det kan vara den genetiska fadern eller den man eller kvinna som har lämnat samtycke till den assisterade befrukt- ning som barnet har tillkommit genom .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
290854;de omständigheterna att en av de tilltänkta föräldrarna , eller den enda tilltänkta föräldern , oftast har varit barnets genetiska far och att migrationsverket i enlighet med sin interna praxis har beviljat barnet svenskt medborgarskap innan den genetiska fadern fastställts som barnets rättsliga far , har medfört att det än så länge inte upp- stått några mer allvarliga problem på området .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
318445;man ställer frågan är det någon som tänker vara pappaledig till mammorna eftersom papporna inte är där vi pratar om föräldraledighet och om att pappan ska ta sin ledighet i den mån han kan , men många män är ensamförsörjare kommunikationen kring delat ansvar , jämställdhet och delad för- äldraledighet går således genom kvinnorna och det är de enskilda kvinnornas inställning och förhållningssätt som avgör om detta också blir en diskussion hemma tillsammans med barnets pappa .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
108734;men det är också en fars ansvar för sina barn , eller söner och döttrars ansvar för sina åldrande föräldrar .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
98768;högre ersättning i pappamånaden vi anser att 00 dagar även fortsättningsvis bör vara avsatta för vardera pappan och mamman - detta främst som en markering av barnens rätt till båda sina föräldrar och det gemensamma ansvaret .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
320422;0 svenska fäder och mödrar för- väntas i dag dela den juridiska vårdnaden och utöva ett gemensamt föräldraskap , helst utan inblandning från staten .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
68291;pappors betydelse och roll för sina barn lyfts fram allt mer och barnets rätt till båda sina föräldrar har präglat de senaste årens lagstiftning , exempelvis reformeringen av vårdnadsreglerna .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
290911;en förutsättning för bestämmelsens tillämpning är som sagt att barnet i hemvistlandet inte har några andra rättsliga föräldrar än den genetiska fadern och hans eventuella partner .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
235678;när vi säger att föräldrar ska ta ansvar för sina barn , då menar vi att både mamman och pappan ska ta ansvar för sina barn .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
103;utredningen förklarar att faderskapspresumtionen bygger på tanken att den i de allra flesta fall anger den genetiska fadern som barnets rättsliga far .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
306325;sou 0000:00 av tiden hos en förälder , oftast mamman , och har umgänge eller ingen kontakt alls med den andra föräldern , oftast pappan .;EXPLICIT;IMPLICIT;EXPLICIT;EXPLICIT
14940;utskottets ställningstagande utskottet har vid flera tidigare tillfällen avstyrkt motioner liknande de nu aktuella och därvid konstaterat att den nuvarande ordningen ger betryggande garantier för att det verkligen är den biologiske fadern och inte någon annan som fastställs som far till ett barn ( se bl.a .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
214373;under en tioårsperiod kostar det 000 000 för mamman och 00 000 för pappan att vara förälder .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
5491;det är också av stor vikt att den ordning som finns för utredningar om faderskap för ogifta ger betryggande garantier för att det verkligen är den biologiska fadern och inte någon annan som fastställs som far till ett barn .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
275567;eftersom det i normalfallet inte görs någon egentlig utredning kring faderskapet , mer än att mamman och pappan får intyga att de är föräldrar , så borde det vara en liten ändring .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
84160;ingen civilisation har ansett fäder vara oväsentliga för ett barns välmående och uppväxt , utan tvärtom har det setts som en brist ja , till och med en tragedi om ett barn berövats sin far i unga år .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
290959;det som nu angetts om en genetisk mor skulle sannolikt också gälla för den kvinna eller man som tillsammans med den genetiska fadern har samtyckt till att en surrogatmor genomgår behandlingen .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
71663;pappors betydelse och roll för sina barn lyfts fram allt mer och barnets rätt till båda sina föräldrar har präglat de senaste årens lagstiftning , exempelvis reformeringen av vårdnadsreglerna .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
13423;gruppen som inte tog ut föräldrapenning är dock heterogen eftersom även fäder som har inkomster över taket i föräldraförsäkringen ingår i den rfv : s långsiktiga arbete med att öka mäns användande av föräldrapenningen inkluderar informationskampanjer via försäkringskassor och mödravårdscentraler riktade till föräldrarna , utskick av påminnelsebrev till pappor med föräldrapenningdagar kvar samt utbildningsinsatser för föräldrapenninghandläggare .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
294466;möjlig- heten fanns om det inte fanns någon pappa med rätt till tillfällig för- äldrapenning , om pappan under vissa förutsättningar avstod från sin rätt eller om mamman var avliden .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
290917;den genetiska fadern kan sam- tidigt inte fastställas som barnets rättsliga far om det finns en man som enligt 0 kap .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
277815;eftersom svenska föräldrar har rätt till 000 dagar med ersättning , med 00 dagar öronmärkta för den förälder som avstår från den större mängden dagar , oftast pappan , men danmark inte har samma system `` varnar '' inte det danska systemet när föräldrarna enligt dansk räkneteknik förbrukat de danska dagarna .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
337380;viktade procent 00 00 00 00 procent 00 00 00 00 00 0 saknar flextid saknar flextid krav på punktlighet krav på punktlighet fäder mödrar fäder mödrar 0000 0000 0000 att arbetet inte medger att arbetsplatsen lämnas eller besöks är ett begränsande arbetsvillkor även i förhållande till barn och familjeliv .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
346913;i hofmann-målet 00 uttalade eg-domstolen att det inte stod i strid med likabehandlingsdirektivet att under en period efter för- lossningen erbjuda mödrar betald ledighet för vård av barn utan att motsvarande möjlighet erbjöds fäder .;IMPLICIT;IMPLICIT;IMPLICIT;IMPLICIT
166820;pappa- och mammamånaden har införts , vilket innebär att 00 dagar av de totala dagarna inte kan överlåtas till den andra föräldern .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
93022;förvärvsarbete är det vanliga både för mödrar och fäder , och männens delaktighet i ansvaret för barn och hem har ökat .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
75484;då detta kan ses som diskriminering såväl av barn till ogifta föräldrar som av pappor bör regelverket ses över för att även ogifta fäder per automatik skall anses vara förälder till sitt barn redan vid barnets födelse .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
348080;varje utomäkten- skapligt barn och dess mor skulle efter 0000 övervakas av en barnavårdsman som också skulle se till att hitta fadern till barnet och få honom att betala underhåll .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
15218;för barn när fadern är okänd eller en förälder är avliden och barnpension inte utges .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
333278;passivt faderskap ibland är avsikten att den biologiska modern och hennes partner gemensamt skall ta hand om barnet som dess föräldrar utan att den biologiske fadern medverkar .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
198044;mest naturligt vore givetvis att barnets pappa är med redan på barnmorskemottagningen och att man där registrerar fadern .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
319876;enligt den bestämmelsen kan ett barn som föds utomlands och som har en svensk far under vissa förutsättningar förvärva svenskt medborgarskap genom anmälan av fadern .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
91716;vidare visar statistik presenterad av jusek , att unga pappor vill vara föräldralediga i större utsträckning , men att det lågt satta taket i föräldraförsäkringen försvårar ett jämnare uttag av föräldraförsäkringen mellan föräldrarna då mannen oftast är den bäst avlönade och familjen därmed förlorar ekonomiskt på att pappan stannar hemma .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
154758;resterande andel lever skild från den ena föräldern , oftast från pappan .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
77192;"en nybliven tonårsmamma , där pappan undflytt sitt ansvar , ska inte lämnas ensam ; samhället runt omkring ska finnas där för att lyssna , hjälpa och stödja .";IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
364124;barnet vill helt enkelt inte vara hos pappa varannan vecka , varannan helg eller vad det nu är , men är ändå tvungen eftersom pappan har antingen delad vårdnad eller umgängesrätt .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
61355;ett sätt att komma åt denna typ av bidragsfusk kan vara att genomföra ett dna-test av barnen när mödrar vid upprepade tillfällen hävdar att fadern är okänd .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
353649;00 tiden tillsammans med barnen minskar kraftigt när barnen blir äldre för såväl mödrar som fäder .;IMPLICIT;IMPLICIT;IMPLICIT;IMPLICIT
320234;föräldrar med invandrarbakgrund bemöts utifrån en tolkningsram som förutsätter att svenska män/fäder generellt är annorlunda än invandrade och framför allt inte ( lika ) patriarkala .;IMPLICIT;IMPLICIT;IMPLICIT;IMPLICIT
92614;lagutskottet har vid ett par tidigare tillfällen anfört att man anser att den nuvarande ordningen ger betryggande garantier för att det verkligen är den biologiske fadern och inte någon annan som fastställs som far till ett barn ( 0000/00 : lu0 och 0000/00 : lu00 ) .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
47821;av ovanstående avsnitt 0 framgår också att en majoritet ( cirka två tredjedelar ) av mödrar och fäder vars barn bor växelvis inte är nöjda med hur barnbidraget för närvarande betalas i de fall en av dem får hela bidraget .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
154996;förvärv av svenskt medborgarskap vid födelsen 0 § ett barn förvärvar svenskt medborgarskap vid födelsen , om 0. modern är svensk medborgare , 0. fadern är svensk medborgare och barnet föds i sverige , 0. fadern är svensk medborgare och gift med barnets mor , 0. fadern är avliden men var svensk medborgare vid sin död och barnet föds i sverige , eller 0. fadern är avliden men vid sin död var svensk medborgare och gift med barnets mor .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
338269;om barn- och ungdomspsykiatrin i sådana fall vänder sig till pappan för att få ett godkännande till behandling ges pappan möjlighet att hitta barnet och hans mor .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
337043;här visar det sig att mödrar och fäder spenderar lika mycket tid i arbete när vi summerar förvärvs- arbete , restider , övertid och hushållsarbete , nämligen 00 timmar i veckan .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
309914;000 härstamningsprincipen och territorialprincipen sou 0000:00 0 § födelse till förälder med 0 § statslöst barn svenskt medborgarskap 0 § adoptivbarn 0 § föräldrars äktenskap 0 § anmälan av fadern 00 § ( delvis ) barn till medborgare enligt 0 § 0 § hittebarn 0 § anmälan för barn med hemvist 0 § anmälan av person som fyllt 00 men inte 00 år 0 § återvinning för tidigare medborgare 00 § ( delvis ) barn till medborgare enligt 0–0 §§ 00 § naturalisation 00 § dispens från naturalisationskrav 00 § naturalisation av sökandes barn 00 § anmälan av nordiska medborgare 00 § återvinning för nordiska medborgare majoriteten av bestämmelserna om förvärv av svenskt medborgarskap kan inte kategoriseras som uttryck för vare sig härstamningsprincipen eller territorialprincipen .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
168991;00 0 folkbokföring av nyfödda barn vars föräldrar inte är folkbokförda regeringens förslag : ett nyfött barn skall folkbokföras om modern är folkbokförd i sverige eller om fadern är vårdnadshavare och folkbokförd här i landet .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
336819;00 0.0.0 sammanfattning det står alltså klart att ensamstående mödrar i sverige under det senast avslutade decenniet levde under mindre gynnsamma ekono- miska förutsättningar än andra grupper i jämförbara åldrar i sam- hället ( ensamstående fäder , ensamstående utan barn och samman- boende med respektive utan barn ) .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
97013;vi anser att 00 dagar även fortsättningsvis bör vara avsatta för vardera pappan och mamman - detta främst som en markering av barnens rätt till båda sina föräldrar och det gemensamma ansvaret .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
86248;en likarättsprincip bör råda , med möjlighet för föräldrarna att överlåta inbördes , dock måste tre månader behållas av varje förälder , det vill säga tre pappa- respektive mammamånader .;EXPLICIT;IMPLICIT;IMPLICIT;IMPLICIT
299984;följderna av ett hävande av faderskapet , i synnerhet om det sker när barnet har hunnit etablera familjeband med fadern , kan vara ingripande och olyckliga både för barnet och för den man som anser sig vara barnets far .;IMPLICIT;IMPLICIT;EXPLICIT;IMPLICIT
307064;det kan innebära att det för pappan endast finns över- vägande lägstanivådagar kvar , vilket kan vara orsak till konflikt mellan särlevande föräldrar och påverka pappans möjlighet till för- äldraledighet och umgänge med barnet .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
322925;att den rättslige fadern också var genetisk far var i och för sig önskvärt men det ansågs inte nödvändigt .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
107922;detta trots att de fäder som orkar driva en rättsprocess för att få leva med sina barn förmodligen är minst lika engagerade i barnens dagliga omvårdnad som barnens mödrar .;IMPLICIT;EXPLICIT;EXPLICIT;IMPLICIT
64047;i isf rapport , dubbeldagar-pappors väg in i föräldrapenningen , dras slutsatsen att pappors uttag under barnets första levnadsår har ökat och att pappor som tidigare valt att ej ta ut föräldrapenning nu börjat ta ut dagar .;EXPLICIT;EXPLICIT;EXPLICIT;EXPLICIT
351552;såväl giftermålsfrekvens som skilsmässofrekvens är låg men andelen ensamstående föräldrar är hög och här liksom i bergslagen är ensamstående fäder förhållandevis vanliga .;EXPLICIT;EXPLICIT;IMPLICIT;EXPLICIT
318351;"samma mönster har jag sett i en intervjustudier med yrkes- arbetande mammor , vilka genomgående uttryckte en önskan om större delaktighet från mannens/pappans sida ( elvin-nowak , 0000 ; 0000 ) .";IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
64161;i de fallen en man får kännedom om att ett barn fötts som han skulle kunna vara far till , så bör det vara både möjligt och enkelt för honom att få det undersökt om han är fadern till barnet .;IMPLICIT;EXPLICIT;IMPLICIT;IMPLICIT
