	prompt	prediction	gold_elin	gold_lena	gold_oscar	gold_agg	57,14%	63,14%	67,43%	62,57%
170		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
171		ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
172		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
173		PASSIVE	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
174		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	1	0	0	
175		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
176		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
177		ACTIVE_POS_OTHER	NA	NA	NA	NA	0	0	0	
178		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
179		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
180		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
181		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
182		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
183		NA	NA	NA	NA	NA	1	1	1	
184		PASSIVE	ACTIVE_POS_OTHER	NA	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	0	0	
185		NA	NA	ACTIVE_NEG	NA	NA	1	0	1	
186		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
187		PASSIVE	ACTIVE_POS_CHALLENGING	NA	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	0	0	0	
188		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
189		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG	0	0	1	
190		PASSIVE	NA	PASSIVE	NA	NA	0	1	0	
191		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
192		ACTIVE_POS_OTHER	NA	NA	ACTIVE_POS_OTHER	NA	0	0	1	
193		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	1	1	0	
194		ACTIVE_POS_OTHER	PASSIVE	NA	PASSIVE	PASSIVE	0	0	0	
195		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
196		NA	NA	NA	NA	NA	1	1	1	
197		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	1	1	0	
198		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
199		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	0	1	
200		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	1	1	1	
201		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	1	0	
202		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	0	0	1	
203		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
204		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	0	1	1	
205		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	0	0	0	
206		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	0	0	1	
207		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
208		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
209		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
210		NA	NA	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	0	
211		PASSIVE	PASSIVE	PASSIVE	ACTIVE_POS_OTHER	PASSIVE	1	1	0	
212		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
213		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	0	0	
214		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
215		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
216		ACTIVE_POS_CARING	NA	ACTIVE_POS_OTHER	NA	NA	0	0	0	
217		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
218		NA	NA	NA	NA	NA	1	1	1	
219		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
220		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
221		ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	1	0	
222		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
223		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING	1	0	0	
224		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	0	1	1	
225		NA	NA	PASSIVE	PASSIVE	PASSIVE	1	0	0	
226		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
227		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
228		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
229		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
230		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
231		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG	0	0	1	
232		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
233		NA	NA	NA	NA	NA	1	1	1	
234		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	0	0	1	
235		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
236		PASSIVE	ACTIVE_NEG	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	1	0	
237		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
238		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
239		NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	0	0	1	
240		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
241		NA	NA	PASSIVE	NA	NA	1	0	1	
242		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_OTHER	1	1	0	
243		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
244		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG	1	0	0	
245		NA	NA	PASSIVE	NA	NA	1	0	1	
246		NA	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	0	0	
247		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
248		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
249		NA	NA	NA	NA	NA	1	1	1	
250		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
251		PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	0	0	0	
252		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
253		ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	1	1	
254		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
255		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
256		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
257		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
258		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	1	0	
259		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
260		ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	1	0	
261		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
262		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
263		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
264		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
265		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
266		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
267		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
268		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG	1	1	0	
269		NA	NA	NA	NA	NA	1	1	1	
270		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
271		NA	NA	NA	NA	NA	1	1	1	
272		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
273		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
274		PASSIVE	NA	NA	PASSIVE	NA	0	0	1	
275		NA	NA	NA	PASSIVE	NA	1	1	0	
276		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
277		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	0	1	1	
278		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	1	0	0	
279		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	0	0	0	
280		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
281		NA	NA	PASSIVE	NA	NA	1	0	1	
282		ACTIVE_POS_OTHER	NA	PASSIVE	NA	NA	0	0	0	
283		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
284		NA	NA	NA	NA	NA	1	1	1	
285		ACTIVE_NEG	NA	NA	PASSIVE	NA	0	0	0	
286		NA	NA	NA	ACTIVE_NEG	NA	1	1	0	
287		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
288		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_NEG	1	0	0	
289		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
290		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
291		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
292		NA	NA	PASSIVE	NA	NA	1	0	1	
293		PASSIVE	PASSIVE	PASSIVE	NA	PASSIVE	1	1	0	
294		ACTIVE_POS_CARING	ACTIVE_POS_OTHER	NA	NA	NA	0	0	0	
295		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
296		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
297		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
298		ACTIVE_POS_CHALLENGING	ACTIVE_POS_OTHER	NA	ACTIVE_POS_CHALLENGING	ACTIVE_POS_CHALLENGING	0	0	1	
299		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
300		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
301		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
302		NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	0	0	0	
303		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
304		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
305		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
306		ACTIVE_NEG	NA	ACTIVE_POS_OTHER	NA	NA	0	0	0	
307		PASSIVE	NA	NA	NA	NA	0	0	0	
308		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	NA	NA	1	0	0	
309		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
310		ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	1	1	1	
311		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
312		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
313		PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	PASSIVE	0	1	1	
314		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
315		NA	NA	PASSIVE	NA	NA	1	0	1	
316		PASSIVE	NA	NA	PASSIVE	NA	0	0	1	
317		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
318		ACTIVE_POS_OTHER	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	0	0	0	
319		PASSIVE	NA	NA	PASSIVE	NA	0	0	1	
320		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
321		ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
322		NA	NA	NA	NA	NA	1	1	1	
323		PASSIVE	ACTIVE_NEG	ACTIVE_NEG	PASSIVE	ACTIVE_NEG	0	0	1	
324		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	0	1	
325		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
326		NA	NA	NA	NA	NA	1	1	1	
327		ACTIVE_POS_CARING	PASSIVE	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	0	0	0	
328		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
329		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
330		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
331		ACTIVE_POS_OTHER	PASSIVE	ACTIVE_POS_OTHER	PASSIVE	PASSIVE	0	1	0	
332		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	1	1	1	
333		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
334		PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	PASSIVE	0	1	1	
335		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
336		PASSIVE	NA	ACTIVE_NEG	PASSIVE	ACTIVE_NEG	0	0	1	
337		ACTIVE_NEG	NA	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	0	1	1	
338		ACTIVE_POS_CARING	ACTIVE_NEG	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	0	0	1	
339		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
340		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
341		PASSIVE	PASSIVE	ACTIVE_NEG	PASSIVE	PASSIVE	1	0	1	
342		NA	PASSIVE	PASSIVE	PASSIVE	PASSIVE	0	0	0	
343		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
344		PASSIVE	PASSIVE	PASSIVE	PASSIVE	PASSIVE	1	1	1	
345		ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	ACTIVE_NEG	1	1	1	
346		NA	NA	NA	NA	NA	1	1	1	
347		PASSIVE	NA	PASSIVE	PASSIVE	PASSIVE	0	1	1	
348		ACTIVE_POS_OTHER	ACTIVE_POS_OTHER	ACTIVE_POS_CARING	ACTIVE_POS_CARING	ACTIVE_POS_CARING	1	0	0	
349		ACTIVE_POS_OTHER	NA	ACTIVE_POS_OTHER	NA	NA	0	1	0	